,sepal_length,sepal_width,petal_length,petal_width,species
0,1,NA,NA,NA,0
1,4,NA,NA,NA,1
2,4,NA,NA,NA,2
3,4,NA,NA,NA,3
4,2,NA,NA,NA,4
5,3,NA,NA,NA,5
6,1,NA,NA,NA,6
7,2,NA,NA,NA,7
8,3,NA,NA,NA,8
9,1,NA,NA,NA,9
10,3,NA,NA,NA,10
11,1,NA,NA,NA,11
12,4,NA,NA,NA,12
13,2,NA,NA,NA,13
14,3,NA,NA,NA,14
15,2,NA,NA,NA,15
16,4,NA,NA,NA,16
17,4,NA,NA,NA,17
18,1,NA,NA,NA,18
19,1,NA,NA,NA,19
20,1,NA,NA,NA,20
21,3,NA,NA,NA,21
22,2,NA,NA,NA,22
23,4,NA,NA,NA,23
24,4,NA,NA,NA,24
25,2,NA,NA,NA,25
26,2,NA,NA,NA,26
27,3,NA,NA,NA,27
28,2,NA,NA,NA,28
29,4,NA,NA,NA,29
30,2,NA,NA,NA,30
31,3,NA,NA,NA,31
32,1,NA,NA,NA,32
33,2,NA,NA,NA,33
34,1,NA,NA,NA,34
35,1,NA,NA,NA,35
36,1,NA,NA,NA,36
37,2,NA,NA,NA,37
38,3,NA,NA,NA,38
39,4,NA,NA,NA,39
40,3,NA,NA,NA,40
41,3,NA,NA,NA,41
42,1,NA,NA,NA,42
43,4,NA,NA,NA,43
44,1,NA,NA,NA,44
45,3,NA,NA,NA,45
46,1,NA,NA,NA,46
47,1,NA,NA,NA,47
48,4,NA,NA,NA,48
49,2,NA,NA,NA,49
50,2,NA,NA,NA,50
51,1,NA,NA,NA,51
52,4,NA,NA,NA,52
53,4,NA,NA,NA,53
54,1,NA,NA,NA,54
55,4,NA,NA,NA,55
56,4,NA,NA,NA,56
57,3,NA,NA,NA,57
58,2,NA,NA,NA,58
59,1,NA,NA,NA,59
60,2,NA,NA,NA,60
61,1,NA,NA,NA,61
62,1,NA,NA,NA,62
63,3,NA,NA,NA,63
64,4,NA,NA,NA,64
65,4,NA,NA,NA,65
66,2,NA,NA,NA,66
67,4,NA,NA,NA,67
68,3,NA,NA,NA,68
69,4,NA,NA,NA,69
70,3,NA,NA,NA,70
71,2,NA,NA,NA,71
72,3,NA,NA,NA,72
73,3,NA,NA,NA,73
74,3,NA,NA,NA,74
75,2,NA,NA,NA,75
76,2,NA,NA,NA,76
77,2,NA,NA,NA,77
78,3,NA,NA,NA,78
79,1,NA,NA,NA,79
80,2,NA,NA,NA,80
81,4,NA,NA,NA,81
82,1,NA,NA,NA,82
83,1,NA,NA,NA,83
84,3,NA,NA,NA,84
85,3,NA,NA,NA,85
86,4,NA,NA,NA,86
87,1,NA,NA,NA,87
88,4,NA,NA,NA,88
89,1,NA,NA,NA,89
90,3,NA,NA,NA,90
91,1,NA,NA,NA,91
92,2,NA,NA,NA,92
93,1,NA,NA,NA,93
94,3,NA,NA,NA,94
95,2,NA,NA,NA,95
96,4,NA,NA,NA,96
97,3,NA,NA,NA,97
98,1,NA,NA,NA,98
99,3,NA,NA,NA,99
100,3,NA,NA,NA,100
101,2,NA,NA,NA,101
102,1,NA,NA,NA,102
103,4,NA,NA,NA,103
104,4,NA,NA,NA,104
105,2,NA,NA,NA,105
106,4,NA,NA,NA,106
107,1,NA,NA,NA,107
108,2,NA,NA,NA,108
109,3,NA,NA,NA,109
110,3,NA,NA,NA,110
111,3,NA,NA,NA,111
112,4,NA,NA,NA,112
113,3,NA,NA,NA,113
114,2,NA,NA,NA,114
115,1,NA,NA,NA,115
116,4,NA,NA,NA,116
117,3,NA,NA,NA,117
118,4,NA,NA,NA,118
119,4,NA,NA,NA,119
120,3,NA,NA,NA,120
121,2,NA,NA,NA,121
122,4,NA,NA,NA,122
123,2,NA,NA,NA,123
124,2,NA,NA,NA,124
125,4,NA,NA,NA,125
126,2,NA,NA,NA,126
127,2,NA,NA,NA,127
128,2,NA,NA,NA,128
129,2,NA,NA,NA,129
130,3,NA,NA,NA,130
131,1,NA,NA,NA,131
132,2,NA,NA,NA,132
133,3,NA,NA,NA,133
134,1,NA,NA,NA,134
135,4,NA,NA,NA,135
136,4,NA,NA,NA,136
137,1,NA,NA,NA,137
